id,pergunta,link,tags
,Teremos cicatrizes no céu?,http://leituracrista.com/o-que-respondi-volume-02/#teremos-cicatrizes-no-céu,
,Como saber se irei para o céu?,http://leituracrista.com/o-que-respondi-volume-02/#como-saber-se-irei-para-o-céu,
,Vamos reconhecer as pessoas no céu?,http://leituracrista.com/o-que-respondi-volume-02/#vamos-reconhecer-as-pessoas-no-céu,
,O que significa ir para o céu?,http://leituracrista.com/o-que-respondi-volume-02/#o-que-significa-ir-para-o-céu,
,É possível ter certeza de ir para o céu?,http://leituracrista.com/o-que-respondi-volume-02/#é-possível-ter-certeza-de-ir-para-o-céu,
,A Bíblia tem resposta para tudo?,http://leituracrista.com/o-que-respondi-volume-02/#a-bíblia-tem-resposta-para-tudo,
,Este site é anticatolicismo?,http://leituracrista.com/o-que-respondi-volume-02/#este-site-é-anticatolicismo,
,"Se Cristo levou nossas enfermidades, por que adoecemos?",http://leituracrista.com/o-que-respondi-volume-02/#se-cristo-levou-nossas-enfermidades-por-que-adoecemos,
,Dúvidas sobre unção e votos,http://leituracrista.com/o-que-respondi-volume-02/#dúvidas-sobre-unção-e-votos,
,O que diz das curas e milagres que mostram na TV?,http://leituracrista.com/o-que-respondi-volume-02/#o-que-diz-das-curas-e-milagres-que-mostram-na-tv,
,Já não fomos curados pelas chagas de Jesus?,http://leituracrista.com/o-que-respondi-volume-02/#já-não-fomos-curados-pelas-chagas-de-jesus,
,A Bíblia condena a doação e transplante de órgãos?,http://leituracrista.com/o-que-respondi-volume-02/#a-bíblia-condena-a-doação-e-transplante-de-órgãos,
,É errado usar a palavra ídolo e adorar?,http://leituracrista.com/o-que-respondi-volume-02/#é-errado-usar-a-palavra-ídolo-e-adorar,
,Os costumes citados em Coríntios valem para hoje?,http://leituracrista.com/o-que-respondi-volume-02/#os-costumes-citados-em-coríntios-valem-para-hoje,
,Por que Deus não cura os amputados?,http://leituracrista.com/o-que-respondi-volume-02/#por-que-deus-não-cura-os-amputados,
,Mulheres cristãs não podem falar?,http://leituracrista.com/o-que-respondi-volume-02/#mulheres-cristãs-não-podem-falar,
,Nada é impossível ao que crê?,http://leituracrista.com/o-que-respondi-volume-02/#nada-é-impossível-ao-que-crê,
,Não é mais seguro crer só na ciência?,http://leituracrista.com/o-que-respondi-volume-02/#não-é-mais-seguro-crer-só-na-ciência,
,"Se estou salvo, por que continuo aqui?",http://leituracrista.com/o-que-respondi-volume-02/#se-estou-salvo-por-que-continuo-aqui,
,Como entender a Bíblia?,http://leituracrista.com/o-que-respondi-volume-02/#como-entender-a-bíblia,
,Só posso ser batizado se estiver legalmente casado?,http://leituracrista.com/o-que-respondi-volume-02/#só-posso-ser-batizado-se-estiver-legalmente-casado,
,Não preciso fazer nada para entrar no céu?,http://leituracrista.com/o-que-respondi-volume-02/#não-preciso-fazer-nada-para-entrar-no-céu,
,É possível um cristão entrar em depressão?,http://leituracrista.com/o-que-respondi-volume-02/#é-possível-um-cristão-entrar-em-depressão,
,O cristão deve orar na direção de Jerusalém?,http://leituracrista.com/o-que-respondi-volume-02/#o-cristão-deve-orar-na-direção-de-jerusalém,
,Como suportar a morte na família?,http://leituracrista.com/o-que-respondi-volume-02/#como-suportar-a-morte-na-família,
,Os anjos foram os pais dos gigantes da Bíblia?,http://leituracrista.com/o-que-respondi-volume-02/#os-anjos-foram-os-pais-dos-gigantes-da-bíblia,
,Quem não irá no arrebatamento?,http://leituracrista.com/o-que-respondi-volume-02/#quem-não-irá-no-arrebatamento,
,O que significa a letra mata?,http://leituracrista.com/o-que-respondi-volume-02/#o-que-significa-a-letra-mata,
,O que acha da Congregação Cristã no Brasil?,http://leituracrista.com/o-que-respondi-volume-02/#o-que-acha-da-congregação-cristã-no-brasil,
,Devemos seguir o Antigo Testamento?,http://leituracrista.com/o-que-respondi-volume-02/#devemos-seguir-o-antigo-testamento,
,O cristianismo não é uma religião?,http://leituracrista.com/o-que-respondi-volume-02/#o-cristianismo-não-é-uma-religião,
,Devo participar de abaixo assinado contra filme?,http://leituracrista.com/o-que-respondi-volume-02/#devo-participar-de-abaixo-assinado-contra-filme,
,O nome de Jesus só pode ser pregado em hebraico?,http://leituracrista.com/o-que-respondi-volume-02/#o-nome-de-jesus-só-pode-ser-pregado-em-hebraico,
,É certo eu ser chamado de fundamentalista?,http://leituracrista.com/o-que-respondi-volume-02/#é-certo-eu-ser-chamado-de-fundamentalista,
,Como se reunir sem um templo?,http://leituracrista.com/o-que-respondi-volume-02/#como-se-reunir-sem-um-templo,
,Quem são os justos na Bíblia?,http://leituracrista.com/o-que-respondi-volume-02/#quem-são-os-justos-na-bíblia,
,Como você entende a expressão casa de Deus?,http://leituracrista.com/o-que-respondi-volume-02/#como-você-entende-a-expressão-casa-de-deus,
,Qual o papel que minha igreja teve em minha conversão e edificação?,http://leituracrista.com/o-que-respondi-volume-02/#qual-o-papel-que-minha-igreja-teve-em-minha-conversão-e-edificação,
,O que você acha do Natal?,http://leituracrista.com/o-que-respondi-volume-02/#o-que-você-acha-do-natal,
,Como evitar ser tentado?,http://leituracrista.com/o-que-respondi-volume-02/#como-evitar-ser-tentado,
,Jesus é Deus?,http://leituracrista.com/o-que-respondi-volume-02/#jesus-é-deus,
,A salvação é pela graça somente?,http://leituracrista.com/o-que-respondi-volume-02/#a-salvação-é-pela-graça-somente,
,Deus não mais quer boas obras?,http://leituracrista.com/o-que-respondi-volume-02/#deus-não-mais-quer-boas-obras,
,Jesus foi um profeta como Maomé?,http://leituracrista.com/o-que-respondi-volume-02/#jesus-foi-um-profeta-como-maomé,
,Qual a diferença entre islamismo e cristianismo?,http://leituracrista.com/o-que-respondi-volume-02/#qual-a-diferença-entre-islamismo-e-cristianismo,
,Existem contradições na Bíblia?,http://leituracrista.com/o-que-respondi-volume-02/#existem-contradições-na-bíblia,
,Quem morre vai ao céu ou ao paraíso?,http://leituracrista.com/o-que-respondi-volume-02/#quem-morre-vai-ao-céu-ou-ao-paraíso,
,Qual fé é suficiente para salvar?,http://leituracrista.com/o-que-respondi-volume-02/#qual-fé-é-suficiente-para-salvar,
,O cristianismo não é baseado nas religiões pagãs?,http://leituracrista.com/o-que-respondi-volume-02/#o-cristianismo-não-é-baseado-nas-religiões-pagãs,
,A fé pode ser provada pela ciência?,http://leituracrista.com/o-que-respondi-volume-02/#a-fé-pode-ser-provada-pela-ciência,
,Por que Deus cria pessoas com imperfeições?,http://leituracrista.com/o-que-respondi-volume-02/#por-que-deus-cria-pessoas-com-imperfeições,
,As coisas foram criadas a partir da luz?,http://leituracrista.com/o-que-respondi-volume-02/#as-coisas-foram-criadas-a-partir-da-luz,
,Existem milagres?,http://leituracrista.com/o-que-respondi-volume-02/#existem-milagres,
,A que obras maiores o Senhor se referiu?,http://leituracrista.com/o-que-respondi-volume-02/#a-que-obras-maiores-o-senhor-se-referiu,
,O inferno existe ou é só uma expressão?,http://leituracrista.com/o-que-respondi-volume-02/#o-inferno-existe-ou-é-só-uma-expressão,
,Os espíritas acreditam só nos Evangelhos?,http://leituracrista.com/o-que-respondi-volume-02/#os-espíritas-acreditam-só-nos-evangelhos,
,É pecado considerar-se salvo?,http://leituracrista.com/o-que-respondi-volume-02/#é-pecado-considerar-se-salvo,
,Preciso ser católico para ser salvo?,http://leituracrista.com/o-que-respondi-volume-02/#preciso-ser-católico-para-ser-salvo,
,A doutrina espírita é baseada na Bíblia?,http://leituracrista.com/o-que-respondi-volume-02/#a-doutrina-espírita-é-baseada-na-bíblia,
,A reencarnação é uma lei natural?,http://leituracrista.com/o-que-respondi-volume-02/#a-reencarnação-é-uma-lei-natural,
,A reencarnação é uma doutrina racista?,http://leituracrista.com/o-que-respondi-volume-02/#a-reencarnação-é-uma-doutrina-racista,
,Quem são os filhos de Deus?,http://leituracrista.com/o-que-respondi-volume-02/#quem-são-os-filhos-de-deus,
,Para ser cristão é preciso ser perfeito?,http://leituracrista.com/o-que-respondi-volume-02/#para-ser-cristão-é-preciso-ser-perfeito,
,Seria a guerra do Iraque uma nova cruzada?,http://leituracrista.com/o-que-respondi-volume-02/#seria-a-guerra-do-iraque-uma-nova-cruzada,
,Por que você ataca os espíritas?,http://leituracrista.com/o-que-respondi-volume-02/#por-que-você-ataca-os-espíritas,
,Jesus não disse para não julgarmos?,http://leituracrista.com/o-que-respondi-volume-02/#jesus-não-disse-para-não-julgarmos,
,Os cristãos são intolerantes?,http://leituracrista.com/o-que-respondi-volume-02/#os-cristãos-são-intolerantes,
,A Bíblia ensina que a salvação é por obras?,http://leituracrista.com/o-que-respondi-volume-02/#a-bíblia-ensina-que-a-salvação-é-por-obras,
,Em que parte da Bíblia devemos crer?,http://leituracrista.com/o-que-respondi-volume-02/#em-que-parte-da-bíblia-devemos-crer,
,Devo fazer um curso de teologia?,http://leituracrista.com/o-que-respondi-volume-02/#devo-fazer-um-curso-de-teologia,
,Por que a Bíblia é comparada à espada?,http://leituracrista.com/o-que-respondi-volume-02/#por-que-a-bíblia-é-comparada-à-espada,
,A Bíblia foi realmente inspirada por Deus?,http://leituracrista.com/o-que-respondi-volume-02/#a-bíblia-foi-realmente-inspirada-por-deus,
,O que o Espírito Santo veio fazer aqui?,http://leituracrista.com/o-que-respondi-volume-02/#o-que-o-espirito-santo-veio-fazer-aqui,
,O espiritismo acredita nas palavras de Jesus?,http://leituracrista.com/o-que-respondi-volume-02/#o-espiritismo-acredita-nas-palavras-de-jesus,
,Por que Deus mandou matar nações inteiras no AT?,http://leituracrista.com/o-que-respondi-volume-02/#por-que-deus-mandou-matar-nações-inteiras-no-at,
,Viver com alguém é fornicação?,http://leituracrista.com/o-que-respondi-volume-03/#viver-com-alguém-é-fornicação,
,Espíritas são melhores que evangélicos?,http://leituracrista.com/o-que-respondi-volume-03/#espíritas-são-melhores-que-evangélicos,
,Como provar os espíritos?,http://leituracrista.com/o-que-respondi-volume-03/#como-provar-os-espíritos,
,Por que o Deus do Antigo Testamento era cruel?,http://leituracrista.com/o-que-respondi-volume-03/#por-que-o-deus-do-antigo-testamento-era-cruel,
,Fora da caridade não há salvação?,http://leituracrista.com/o-que-respondi-volume-03/#fora-da-caridade-não-há-salvação,
,Em Marcos 2 Jesus errou o nome do sumo-sacerdote?,http://leituracrista.com/o-que-respondi-volume-03/#em-marcos-2-jesus-errou-o-nome-do-sumo-sacerdote,
,As pragas no Egito não mataram todos os animais?,http://leituracrista.com/o-que-respondi-volume-03/#as-pragas-no-egito-não-mataram-todos-os-animais,
,"Se Jesus não era filho de José, como era descendente de Davi?",http://leituracrista.com/o-que-respondi-volume-03/#se-jesus-não-era-filho-de-josé-como-era-descendente-de-davi,
,Como lidar com os altos e baixos da vida cristã?,http://leituracrista.com/o-que-respondi-volume-03/#como-lidar-com-os-altos-e-baixos-da-vida-cristã,
,Como as pessoas podiam viver centenas de anos no princípio?,http://leituracrista.com/o-que-respondi-volume-03/#como-as-pessoas-podiam-viver-centenas-de-anos-no-princípio,
,Quem foi o faraó do Êxodo?,http://leituracrista.com/o-que-respondi-volume-03/#quem-foi-o-faraó-do-êxodo,
,É pecado substituir o ato sexual por masturbação?,http://leituracrista.com/o-que-respondi-volume-03/#é-pecado-substituir-o-ato-sexual-por-masturbação,
,O que é pecado?,http://leituracrista.com/o-que-respondi-volume-03/#o-que-é-pecado,
,Devo seguir minha consciência?,http://leituracrista.com/o-que-respondi-volume-03/#devo-seguir-minha-consciência,
,Preciso ler a Bíblia toda para ser salvo?,http://leituracrista.com/o-que-respondi-volume-03/#preciso-ler-a-bíblia-toda-para-ser-salvo,
,Por que os judeus não creem em Jesus?,http://leituracrista.com/o-que-respondi-volume-03/#por-que-os-judeus-não-creem-em-jesus,
,Existe uma contradição no Evangelho de Marcos 2:26?,http://leituracrista.com/o-que-respondi-volume-03/#existe-uma-contradição-no-evangelho-de-marcos-2-26,
,Como Jesus podia descender do Rei Davi se José não era seu pai?,http://leituracrista.com/o-que-respondi-volume-03/#como-jesus-podia-descender-do-rei-davi-se-josé-não-era-seu-pai,
,Os hebreus atravessaram mesmo o Mar Vermelho?,http://leituracrista.com/o-que-respondi-volume-03/#os-hebreus-atravessaram-mesmo-o-mar-vermelho,
,Como Noé conseguiu colocar os animais na Arca?,http://leituracrista.com/o-que-respondi-volume-03/#como-noé-conseguiu-colocar-os-animais-na-arca,
,De onde vieram as águas do Dilúvio e para onde foram?,http://leituracrista.com/o-que-respondi-volume-03/#de-onde-vieram-as-águas-do-dilúvio-e-para-onde-foram,
,Você é contra pesquisas com células-tronco?,http://leituracrista.com/o-que-respondi-volume-03/#você-é-contra-pesquisas-com-células-tronco,
,Existe fundamento bíblico para a “Marcha para Jesus”?,http://leituracrista.com/o-que-respondi-volume-03/#existe-fundamento-bíblico-para-a-marcha-para-jesus,
,Depois de salvo eu perco meu livre arbítrio?,http://leituracrista.com/o-que-respondi-volume-03/#depois-de-salvo-eu-perco-meu-livre-arbítrio,
,Devo construir uma quadra de esportes para evangelizar?,http://leituracrista.com/o-que-respondi-volume-03/#devo-construir-uma-quadra-de-esportes-para-evangelizar,
,Investir em ações é jugo desigual?,http://leituracrista.com/o-que-respondi-volume-03/#investir-em-ações-é-jugo-desigual,
,É possível fazer tudo o que a Bíblia diz?,http://leituracrista.com/o-que-respondi-volume-03/#é-possível-fazer-tudo-o-que-a-bíblia-diz,
,Como interpretar as sensações?,http://leituracrista.com/o-que-respondi-volume-03/#como-interpretar-as-sensações,
,O que fazer quando não sinto a presença de Deus?,http://leituracrista.com/o-que-respondi-volume-03/#o-que-fazer-quando-não-sinto-a-presença-de-deus,
,É errado tentar converter pessoas de outras religiões?,http://leituracrista.com/o-que-respondi-volume-03/#é-errado-tentar-converter-pessoas-de-outras-religiões,
,Religião boa é a que faz a pessoa sentir-se bem?,http://leituracrista.com/o-que-respondi-volume-03/#religião-boa-é-a-que-faz-a-pessoa-sentir-se-bem,
,Você acredita em novas revelações?,http://leituracrista.com/o-que-respondi-volume-03/#você-acredita-em-novas-revelações,
,Se a salvação não depende de mim posso viver como quiser?,http://leituracrista.com/o-que-respondi-volume-03/#se-a-salvação-não-depende-de-mim-posso-viver-como-quiser,
,Que mentiras podem me condenar ao inferno?,http://leituracrista.com/o-que-respondi-volume-03/#que-mentiras-podem-me-condenar-ao-inferno,
,Se 2/3 da humanidade crê na reencarnação por que você não?,http://leituracrista.com/o-que-respondi-volume-03/#se-2-3-da-humanidade-crê-na-reencarnação-por-que-você-não,
,A Bíblia é diferente dos originais?,http://leituracrista.com/o-que-respondi-volume-03/#a-bíblia-é-diferente-dos-originais,
,Devemos obedecer a autoridade humana na igreja?,http://leituracrista.com/o-que-respondi-volume-03/#devemos-obedecer-a-autoridade-humana-na-igreja,
,Sexo antes do casamento me faz perder a salvação?,http://leituracrista.com/o-que-respondi-volume-03/#sexo-antes-do-casamento-me-faz-perder-a-salvação,
,Deus não aprova a homo afetividade?,http://leituracrista.com/o-que-respondi-volume-03/#deus-não-aprova-a-homo-afetividade,
,A Bíblia proíbe o ministério das mulheres?,http://leituracrista.com/o-que-respondi-volume-03/#a-bíblia-proíbe-o-ministério-das-mulheres,
,Podemos perder a salvação?,http://leituracrista.com/o-que-respondi-volume-03/#podemos-perder-a-salvação,
,Você fala do evangelho em suas palestras?,http://leituracrista.com/o-que-respondi-volume-03/#você-fala-do-evangelho-em-suas-palestras,
,Jesus foi pregar no inferno?,http://leituracrista.com/o-que-respondi-volume-03/#jesus-foi-pregar-no-inferno,
,Pode Lúcifer ser a estrela da manhã?,http://leituracrista.com/o-que-respondi-volume-03/#pode-lúcifer-ser-a-estrela-da-manhã,
,Você jogou fora seus livros quando se converteu?,http://leituracrista.com/o-que-respondi-volume-03/#você-jogou-fora-seus-livros-quando-se-converteu,
,Existem erros no texto da Bíblia?,http://leituracrista.com/o-que-respondi-volume-03/#existem-erros-no-texto-da-bíblia,
,Devemos voltar ao cristianismo primitivo?,http://leituracrista.com/o-que-respondi-volume-03/#devemos-voltar-ao-cristianismo-primitivo,
,Deus destinou os negros para serem escravos?,http://leituracrista.com/o-que-respondi-volume-03/#deus-destinou-os-negros-para-serem-escravos,
,Posso me tatuar para a glória de Deus?,http://leituracrista.com/o-que-respondi-volume-03/#posso-me-tatuar-para-a-glória-de-deus,
,Como evitar a masturbação?,http://leituracrista.com/o-que-respondi-volume-03/#como-evitar-a-masturbação,
,Mulheres podem ser pastoras?,http://leituracrista.com/o-que-respondi-volume-03/#mulheres-podem-ser-pastoras,
,Você lê qualquer livro cristão ou evangélico?,http://leituracrista.com/o-que-respondi-volume-03/#você-lê-qualquer-livro-cristão-ou-evangélico,
,Devo vender tudo e dividir com outros cristãos?,http://leituracrista.com/o-que-respondi-volume-03/#devo-vender-tudo-e-dividir-com-outros-cristãos,
,O que fazer se meu marido é homossexual?,http://leituracrista.com/o-que-respondi-volume-03/#o-que-fazer-se-meu-marido-é-homossexual,
,O dilúvio da Bíblia foi copiado de lendas de outros povos?,http://leituracrista.com/o-que-respondi-volume-03/#o-dilúvio-da-bíblia-foi-copiado-de-lendas-de-outros-povos,
,Israel na terra prometida é a figueira com brotos e folhas?,http://leituracrista.com/o-que-respondi-volume-03/#israel-na-terra-prometida-é-a-figueira-com-brotos-e-folhas,
,Qual a diferença entre tribulação e grande tribulação?,http://leituracrista.com/o-que-respondi-volume-03/#qual-a-diferença-entre-tribulação-e-grande-tribulação,
,O cristão deve ser vegetariano?,http://leituracrista.com/o-que-respondi-volume-03/#o-cristão-deve-ser-vegetariano,
,"Devemos comer apenas alimentos crus, como Adão e Eva?",http://leituracrista.com/o-que-respondi-volume-03/#devemos-comer-apenas-alimentos-crus-como-adão-e-eva,
,Quem pode batizar uma pessoa?,http://leituracrista.com/o-que-respondi-volume-03/#quem-pode-batizar-uma-pessoa,
,Fiquei vulnerável a demônios por ter sido abusada sexualmente?,http://leituracrista.com/o-que-respondi-volume-03/#fiquei-vulnerável-a-demônios-por-ter-sido-abusada-sexualmente,
,"Se uma denominação prospera, como pode estar errada?",http://leituracrista.com/o-que-respondi-volume-03/#se-uma-denominação-prospera-como-pode-estar-errada,
,Devo me opor à idolatria em meu trabalho?,http://leituracrista.com/o-que-respondi-volume-03/#devo-me-opor-à-idolatria-em-meu-trabalho,
,O que você acha da teoria do intervalo?,http://leituracrista.com/o-que-respondi-volume-03/#o-que-você-acha-da-teoria-do-intervalo,
,O que você acha do pensamento filosófico cristão?,http://leituracrista.com/o-que-respondi-volume-03/#o-que-você-acha-do-pensamento-filosófico-cristão,
,Devo ser conivente com a desonestidade na empresa?,http://leituracrista.com/o-que-respondi-volume-03/#devo-ser-conivente-com-a-desonestidade-na-empresa,
,"Mateus 24, Marcos 13 e Lucas 21 já aconteceram?",http://leituracrista.com/o-que-respondi-volume-03/#mateus-24-marcos-13-e-lucas-21-já-aconteceram,
,O arrebatamento e a volta de Jesus não são a mesma coisa?,http://leituracrista.com/o-que-respondi-volume-03/#o-arrebatamento-e-a-volta-de-jesus-não-são-a-mesma-coisa,
,Profecia: Perguntas e Respostas,http://leituracrista.com/o-que-respondi-volume-03/#profecia-perguntas-e-respostas,
,A igreja não aparece no Antigo Testamento?,http://leituracrista.com/o-que-respondi-volume-03/#a-igreja-não-aparece-no-antigo-testamento,
,O primeiro a falar do arrebatamento foi John Nelson Darby?,http://leituracrista.com/o-que-respondi-volume-03/#o-primeiro-a-falar-do-arrebatamento-foi-john-nelson-darby,
,Os eleitos ou escolhidos de Mateus 24:31 são cristãos (igreja)?,http://leituracrista.com/o-que-respondi-volume-03/#os-eleitos-ou-escolhidos-de-mateus-24-31-são-cristãos-igreja,
,O que são os concertos ou alianças da Bíblia?,http://leituracrista.com/o-que-respondi-volume-03/#o-que-são-os-concertos-ou-alianças-da-bíblia,
,Como me livrar do apego a coisas e hábitos?,http://leituracrista.com/o-que-respondi-volume-03/#como-me-livrar-do-apego-a-coisas-e-hábitos,
,Qual é a segunda morte?,http://leituracrista.com/o-que-respondi-volume-03/#qual-é-a-segunda-morte,
,Quem será o Anticristo?,http://leituracrista.com/o-que-respondi-volume-03/#quem-será-o-anticristo,
,Por que o sexo não pode vir antes do casamento?,http://leituracrista.com/o-que-respondi-volume-03/#por-que-o-sexo-não-pode-vir-antes-do-casamento,
,Não era para eu prosperar depois de convertido?,http://leituracrista.com/o-que-respondi-volume-03/#não-era-para-eu-prosperar-depois-de-convertido,
,Quem nunca ouviu o evangelho pode ser salvo?,http://leituracrista.com/o-que-respondi-volume-03/#quem-nunca-ouviu-o-evangelho-pode-ser-salvo,
,O que você pensa do aborto?,http://leituracrista.com/o-que-respondi-volume-03/#o-que-você-pensa-do-aborto,
,Que hinos você e os irmãos cantam nas reuniões?,http://leituracrista.com/o-que-respondi-volume-03/#que-hinos-você-e-os-irmãos-cantam-nas-reuniões,
,Tudo o que fiz será revelado quando Jesus vier me buscar?,http://leituracrista.com/o-que-respondi-volume-03/#tudo-o-que-fiz-será-revelado-quando-jesus-vier-me-buscar,
,Caim era pedófilo e cometeu incesto?,http://leituracrista.com/o-que-respondi-volume-03/#caim-era-pedófilo-e-cometeu-incesto,
,Por que você não gostou de tudo que leu no livro de C. S. Lewis?,http://leituracrista.com/o-que-respondi-volume-03/#por-que-você-não-gostou-de-tudo-que-leu-no-livro-de-c-s-lewis,
,"Como lidar com as maldições, ‘macumbarias’, ‘trabalhos’ etc.?",http://leituracrista.com/o-que-respondi-volume-03/#como-lidar-com-as-maldições-macumbarias-trabalhos-etc,
,O quanto preciso estar preparado para evangelizar?,http://leituracrista.com/o-que-respondi-volume-03/#o-quanto-preciso-estar-preparado-para-evangelizar,
,O que você acha de experiências místicas?,http://leituracrista.com/o-que-respondi-volume-03/#o-que-você-acha-de-experiências-místicas,
,Devo me preocupar com os documentários sobre o fim do mundo?,http://leituracrista.com/o-que-respondi-volume-03/#devo-me-preocupar-com-os-documentários-sobre-o-fim-do-mundo,
,Como lidar com as falhas na Bíblia?,http://leituracrista.com/o-que-respondi-volume-03/#como-lidar-com-as-falhas-na-bíblia,
,Devo confessar meu pecado?,http://leituracrista.com/o-que-respondi-volume-03/#devo-confessar-meu-pecado,
,Sem fé estou perdido?,http://leituracrista.com/o-que-respondi-volume-03/#sem-fé-estou-perdido,
,Artes marciais na igreja abrem brecha para o diabo?,http://leituracrista.com/o-que-respondi-volume-03/#artes-marciais-na-igreja-abrem-brecha-para-o-diabo,
,Se não tenho o livre arbítrio como posso ser responsável por rejeitar?,http://leituracrista.com/o-que-respondi-volume-03/#se-não-tenho-o-livre-arbítrio-como-posso-ser-responsável-por-rejeitar,
,O que pratiquei é incesto?,http://leituracrista.com/o-que-respondi-volume-03/#o-que-pratiquei-é-incesto,
,Maria é a mãe dos cristãos?,http://leituracrista.com/o-que-respondi-volume-03/#maria-é-a-mãe-dos-cristãos,
,Tudo o que dizem de Maria é verdade?,http://leituracrista.com/o-que-respondi-volume-03/#tudo-o-que-dizem-de-maria-é-verdade,
,Por que não vemos possessos de demônios no Antigo Testamento?,http://leituracrista.com/o-que-respondi-volume-03/#por-que-não-vemos-possessos-de-demônios-no-antigo-testamento,
,Quem participa da primeira ressurreição?,http://leituracrista.com/o-que-respondi-volume-03/#quem-participa-da-primeira-ressurreição,
,Posso participar de um ritual de casamento católico?,http://leituracrista.com/o-que-respondi-volume-03/#posso-participar-de-um-ritual-de-casamento-católico,
,Quem é quem nas parábolas?,http://leituracrista.com/o-que-respondi-volume-03/#quem-é-quem-nas-parábolas,
,Davi e Jônatas eram homossexuais?,http://leituracrista.com/o-que-respondi-volume-03/#davi-e-jonatas-eram-homossexuais,
,Qual o significado de 1 Coríntios 13?,http://leituracrista.com/o-que-respondi-volume-03/#qual-o-significado-de-1-coríntios-13,
,Perderei a salvação se voltar a fazer o que fazia?,http://leituracrista.com/o-que-respondi-volume-03/#perderei-a-salvação-se-voltar-a-fazer-o-que-fazia,
,O batismo salva?,http://leituracrista.com/o-que-respondi-volume-03/#o-batismo-salva,
,O cristão é intolerante?,http://leituracrista.com/o-que-respondi-volume-03/#o-cristão-é-intolerante,
,A Igreja não ensina?,http://leituracrista.com/o-que-respondi-volume-03/#a-igreja-não-ensina,
,Você não reconhece o Papa?,http://leituracrista.com/o-que-respondi-volume-03/#você-não-reconhece-o-papa,
,Sua fé não inclui Maria?,http://leituracrista.com/o-que-respondi-volume-03/#sua-fé-não-inclui-maria,
,Não somos livres para escolher a salvação?,http://leituracrista.com/o-que-respondi-volume-03/#não-somos-livres-para-escolher-a-salvação,
,Michael Jackson precisava de uma segunda chance?,http://leituracrista.com/o-que-respondi-volume-03/#michael-jackson-precisava-de-uma-segunda-chance,
,A cristandade está decadente?,http://leituracrista.com/o-que-respondi-volume-03/#a-cristandade-está-decadente,
,Deus armou uma armadilha para suas criaturas?,http://leituracrista.com/o-que-respondi-volume-03/#deus-armou-uma-armadilha-para-suas-criaturas,
,Devo me sujeitar a meus pais?,http://leituracrista.com/o-que-respondi-volume-03/#devo-me-sujeitar-a-meus-pais,
,O que significa adorar em espírito e em verdade?,http://leituracrista.com/o-que-respondi-volume-03/#o-que-significa-adorar-em-espírito-e-em-verdade,
,O que acha do que diz o ateu Richard Dawkins?,http://leituracrista.com/o-que-respondi-volume-03/#o-que-acha-do-que-diz-o-ateu-richard-dawkins,
,Por que Lutero foi dividir os cristãos?,http://leituracrista.com/o-que-respondi-volume-03/#por-que-lutero-foi-dividir-os-cristãos,
,O que você acha da dança como meio de evangelizar?,http://leituracrista.com/o-que-respondi-volume-03/#o-que-você-acha-da-dança-como-meio-de-evangelizar,
,Devemos rasgar o Antigo Testamento?,http://leituracrista.com/o-que-respondi-volume-03/#devemos-rasgar-o-antigo-testamento,
,Foi a igreja católica que definiu o Novo Testamento?,http://leituracrista.com/o-que-respondi-volume-03/#foi-a-igreja-católica-que-definiu-o-novo-testamento,
,Como me precaver contra o erro?,http://leituracrista.com/o-que-respondi-volume-03/#como-me-precaver-contra-o-erro,
,Você não acredita em dança profética?,http://leituracrista.com/o-que-respondi-volume-03/#você-não-acredita-em-dança-profética,
,Pessoas de religiões apóstatas estão salvas?,http://leituracrista.com/o-que-respondi-volume-03/#pessoas-de-religiões-apóstatas-estão-salvas,
,Devo me separar de minha denominação?,http://leituracrista.com/o-que-respondi-volume-03/#devo-me-separar-de-minha-denominação,
,Qual a música certa para o louvor?,http://leituracrista.com/o-que-respondi-volume-03/#qual-a-música-certa-para-o-louvor,
,"Se não existe Deus, tudo está liberado?",http://leituracrista.com/o-que-respondi-volume-03/#se-não-existe-deus-tudo-está-liberado,
,A moral faria sentido sem Deus?,http://leituracrista.com/o-que-respondi-volume-03/#a-moral-faria-sentido-sem-deus,
,Posso usar seu vídeo na minha igreja?,http://leituracrista.com/o-que-respondi-volume-03/#posso-usar-seu-vídeo-na-minha-igreja,
,Como conciliar a Bíblia e a teoria da evolução?,http://leituracrista.com/o-que-respondi-volume-03/#como-conciliar-a-bíblia-e-a-teoria-da-evolução,
,Para quê Deus se temos as Regras de Ouro?,http://leituracrista.com/o-que-respondi-volume-03/#para-quê-deus-se-temos-as-regras-de-ouro,
,Como entender o Apocalipse?,http://leituracrista.com/o-que-respondi-volume-03/#como-entender-o-apocalipse,
,O que acontecerá com as crianças no arrebatamento?,http://leituracrista.com/o-que-respondi-volume-03/#o-que-acontecerá-com-as-crianças-no-arrebatamento,
,Que diferença existe entre a minha igreja e a sua?,http://leituracrista.com/o-que-respondi-volume-03/#que-diferença-existe-entre-a-minha-igreja-e-a-sua,
,Qual o papel da Lei de Moises para o cristão?,http://leituracrista.com/o-que-respondi-volume-03/#qual-o-papel-da-lei-de-moises-para-o-cristão,
,Qual a chave para entender o Sermão da Montanha?,http://leituracrista.com/o-que-respondi-volume-03/#qual-a-chave-para-entender-o-sermão-da-montanha,
